Borough,Neighborhood,ID,Name
Queens,Floral Park,4c3e17f2ca012d7f82022fbe,Mushin's Halal Food [Gyro Cart]
Queens,Holliswood,4f580c1be4b0bdfd0e7e8102,Rajdhani Indian Restaurant
Queens,Jamaica Estates,4b8d5734f964a520b1f532e3,BBQ Village Palace
Queens,Queensboro Hill,4a215243f964a520d17c1fe3,Mango's Restaurant
Queens,Ravenswood,5623f6f9498e5a44a08bfae8,Boishakhi Restaurant
Queens,Ravenswood,4d349d83eefa8cfa6d7d4cb3,Aladdin Sweets and Restaurant
Queens,Forest Hills Gardens,4f188adfe4b0cae4b525a694,Haveli
Staten Island,New Dorp,4be74a502468c928505a0243,Taste Of India II
Staten Island,Tompkinsville,4b9be038f964a520393036e3,Dosa Garden
Manhattan,Carnegie Hill,5272ca4511d22488f6895caf,Drunken Munkey
Manhattan,Carnegie Hill,56ed855a498ef3bb022352c3,mughlai Indian Cuisine
Manhattan,Civic Center,575dea4c498e2739e43a27e2,Aahar Indian Cuisine
Manhattan,Civic Center,4bbb9dbded7776b0e1ad3e51,Tamarind TriBeCa
Queens,Jamaica Hills,4bad49a0f964a52041423be3,Annam Brahma
Queens,Jamaica Hills,4c434b2bd691c9b6ef8f8f0a,Sagar Restaurant
Queens,Jamaica Hills,4cc08b0900d83704ed474b5c,Sybil's Bakery
Bronx,Concourse Village,551b7f75498e86c00a0ed2e1,Hungry Bird
Manhattan,Sutton Place,4a63bfb4f964a520b3c51fe3,Chola Eclectic Indian Cuisine
Manhattan,Sutton Place,52645b7511d282d559770c2d,Adyar Anand Bhavan
Manhattan,Sutton Place,4fe4fb50c2eee335e4fea69d,Moti Mahal Delux
Manhattan,Sutton Place,3fd66200f964a52099e91ee3,Dawat
Queens,Hunters Point,5a862df5356b493fcd8a10e5,DesiBowl
Manhattan,Turtle Bay,4a5b660df964a52015bb1fe3,Amma
Manhattan,Turtle Bay,59fcd48c464d6567ed2f5e37,The Kati Roll Company
Manhattan,Turtle Bay,5ac3984ae57ca64be4dc6168,INDAY
Manhattan,Tudor City,59fcd48c464d6567ed2f5e37,The Kati Roll Company
Manhattan,Tudor City,5ac3984ae57ca64be4dc6168,INDAY
Manhattan,Flatiron,52a1fa08498ede15b1530912,Indikitch
Queens,Sunnyside Gardens,4c48da9f3013a59356c5f0e1,Saffron Garden
Queens,Bayswater,5210b5ad11d20eb771752777,The Spice Shop
Queens,Queensbridge,4b1b341bf964a5208af923e3,Five Star Banquet
